a	ˈeɪ
brazilian	bɹæzˈɪliən
bread	bɹˈɛd
break	bɹˈeɪk
breakdown	bɹˈeɪkdaʊn
breakfast	bɹˈɛkfəst
breaking	bɹˈeɪkɪŋ
breaks	bɹˈeɪks
breast	bɹˈɛst
breasts	bɹˈɛsts
breath	bɹˈɛθ
breed	bɹˈiːd
breeding	bɹˈiːdɪŋ
breeds	bɹˈiːdz
brian	bɹˈaɪən
brick	bɹˈɪk
bridal	bɹˈaɪdəl
bride	bɹˈaɪd
bridge	bɹˈɪdʒ
bridges	bɹˈɪdʒᵻz
brief	bɹˈiːf
bright	bɹˈaɪt
brighton	bɹˈaɪtən
brilliant	bɹˈɪliənt
bring	bɹˈɪŋ
bringing	bɹˈɪŋɪŋ
brings	bɹˈɪŋz
brisbane	bɹˈɪsbən
bristol	bɹˈɪstəl
britain	bɹˈɪtən
britannica	bɹɪtˈænɪkə
british	bɹˈɪɾɪʃ
britney	bɹˈɪtni
broad	bɹˈɔːd
broadband	bɹˈɔːdbænd
broadcast	bɹˈɔːdkæst
broadcasting	bɹˈɔːdkæstɪŋ
broadway	bɹˈɔːdweɪ
brochure	bɹoʊʃˈʊɹr
broke	bɹˈoʊk
broken	bɹˈoʊkən
broker	bɹˈoʊkɚ
brokers	bɹˈoʊkɚz
bronze	bɹˈɑːnz
brooklyn	bɹˈʊklɪn
brooks	bɹˈʊks
brother	bɹˈʌðɚ
brothers	bɹˈʌðɚz
brought	bɹˈɔːt
brown	bɹˈaʊn
browse	bɹˈaʊz
browser	bɹˈaʊzɚ
browsers	bɹˈaʊzɚz
browsing	bɹˈaʊzɪŋ
bruce	bɹˈuːs
brunette	bɹuːnˈɛt
brunswick	bɹˈʌnswɪk
brush	bɹˈʌʃ
brussels	bɹˈʌsəlz
bryan	bɹˈaɪən
bs	bˌiːˈɛs
bt	bˌiːtˈiː
bubble	bˈʌbəl
buddy	bˈʌdi
budget	bˈʌdʒɪt
buf	bˈʌf
buffalo	bˈʌfəlˌoʊ
buffer	bˈʌfɚ
bug	bˈʌɡ
bugs	bˈʌɡz
build	bˈɪld
builder	bˈɪldɚ
builders	bˈɪldɚz
building	bˈɪldɪŋ
buildings	bˈɪldɪŋz
built	bˈɪlt
bukkake	bˈʌkeɪk
bulgaria	bʌlɡˈɛɹiə
bulgarian	bʌlɡˈɛɹiən
bulk	bˈʌlk
bull	bˈʊl
bullet	bˈʊlɪt
bulletin	bˈʊlɪtˌɪn
bunch	bˈʌntʃ
bundle	bˈʌndəl
burden	bˈɜːdən
bureau	bjˈʊɹɹoʊ
buried	bˈɛɹid
burn	bˈɜːn
burning	bˈɜːnɪŋ
burns	bˈɜːnz
burton	bˈɜːtən
bus	bˈʌs
bush	bˈʊʃ
business	bˈɪznəs
businesses	bˈɪznəsᵻz
busty	bˈʌsti
busy	bˈɪzi
but	bˌʌt
butler	bˈʌtlɚ
butt	bˈʌt
butter	bˈʌɾɚ
butterfly	bˈʌɾɚflˌaɪ
button	bˈʌʔn̩
buttons	bˈʌʔn̩z
butts	bˈʌts
buy	bˈaɪ
buyer	bˈaɪɚ
buyers	bˈaɪɚz
buying	bˈaɪɪŋ
buzz	bˈʌz
by	bˈaɪ
byte	bˈaɪt
bytes	bˈaɪts
c	sˈiː
ca	kˈɑː
cab	kˈæb
cabin	kˈæbɪn
cabinet	kˈæbᵻnət
cable	kˈeɪbəl
cables	kˈeɪbəlz
cache	kˈæʃ
cached	kˈæʃt
cad	kˈæd
cafe	kˈæfeɪ
cake	kˈeɪk
cal	kˈæl
calcium	kˈælsiəm
calculate	kˈælkjʊlˌeɪt
calculated	kˈælkjʊlˌeɪɾᵻd
calculation	kˌælkjʊlˈeɪʃən
calculations	kˌælkjʊlˈeɪʃənz
calculator	kˈælkjʊlˌeɪɾɚ
calculators	kˈælkjʊlˌeɪɾɚz
calendar	kˈæləndɚ
calendars	kˈæləndɚz
calgary	kˈælɡɚɹi
california	kˌælɪfˈɔːɹniə
call	kˈɔːl
called	kˈɔːld
calling	kˈɔːlɪŋ
calls	kˈɔːlz
calm	kˈɑːm
cam	kˈæm
cambodia	kæmbˈoʊdiə
cambridge	kˈeɪmbɹɪdʒ
camcorder	kˈæmkɔːɹdɚ
camcorders	kˈæmkɔːɹdɚz
came	kˈeɪm
camel	kˈæməl
camera	kˈæmɹə
cameras	kˈæmɹəz
cameron	kˈæmɚɹən
camp	kˈæmp
campaign	kæmpˈeɪn
campaigns	kæmpˈeɪnz
campbell	kˈæmbəl
camping	kˈæmpɪŋ
camps	kˈæmps
campus	kˈæmpəs
cams	kˈæmz
can	kˈæn
canada	kˈænədə
canadian	kɐnˈeɪdiən
canal	kənˈæl
cancel	kˈænsəl
cancellation	kˌænsɪlˈeɪʃən
cancer	kˈænsɚ
candidate	kˈændᵻdˌeɪt
candidates	kˈændᵻdˌeɪts
candle	kˈændəl
candles	kˈændəlz
candy	kˈændi
canon	kˈænən
cant	kˈænt
canvas	kˈænvəs
canyon	kˈænɪən
cap	kˈæp
capabilities	kˌeɪpəbˈɪlᵻɾiz
capability	kˌeɪpəbˈɪlᵻɾi
capable	kˈeɪpəbəl
capacity	kəpˈæsᵻɾi
cape	kˈeɪp
capital	kˈæpɪɾəl
capitol	kˈæpɪɾəl
caps	kˈæps
captain	kˈæptɪn
capture	kˈæptʃɚ
captured	kˈæptʃɚd
car	kˈɑːɹ
carbon	kˈɑːɹbən
card	kˈɑːɹd
cards	kˈɑːɹdz
care	kˈɛɹ
career	kɚɹˈɪɹ
careers	kɚɹˈɪɹz
careful	kˈɛɹfəl
carefully	kˈɛɹfəli
carey	kˈɛɹi
cargo	kˈɑːɹɡoʊ
caribbean	kˌæɹəbˈiən
caring	kˈɛɹɪŋ
carl	kˈɑːɹl
carlos	kˈɑːɹloʊz
carol	kˈæɹəl
carolina	kˌæɹəlˈaɪnə
carpet	kˈɑːɹpɪt
carried	kˈæɹid
carrier	kˈæɹiɚ
carriers	kˈæɹɪɹz
carry	kˈæɹi
carrying	kˈæɹiɪŋ
cars	kˈɑːɹz
cart	kˈɑːɹt
carter	kˈɑːɹɾɚ
cartoon	kɑːɹtˈuːn
cartoons	kɑːɹtˈuːnz
cartridge	kˈɑːɹtɹɪdʒ
cartridges	kˈɑːɹtɹɪdʒᵻz
case	kˈeɪs
cases	kˈeɪsᵻz
cash	kˈæʃ
cashiers	kæʃˈɪɹz
casino	kɐsˈiːnoʊ
casinos	kɐsˈiːnoʊz
cassette	kɐsˈɛt
cast	kˈæst
casting	kˈæstɪŋ
castle	kˈæsəl
casual	kˈæʒuːəl
cat	kˈæt
catalog	kˈæɾɐlˌɑːɡ
catalogue	kˈæɾɐlˌɑːɡ
catch	kˈætʃ
categories	kˈæɾɪɡɚɹiz
category	kˈæɾɪɡɚɹi
catering	kˈeɪɾɚɹɪŋ
catherine	kˈæθɹɪn
catholic	kˈæθlɪk
cats	kˈæts
cattle	kˈæɾəl
caught	kˈɔːt
cause	kˈɔːz
caused	kˈɔːzd
causes	kˈɔːzᵻz
causing	kˈɔːzɪŋ
cave	kˈeɪv
cb	sˌiːbˈiː
cbs	sˌiːbˌiːˈɛs
cc	sˌiːsˈiː
cd	sˌiːdˈiː
cds	sˌiːdˌiːˈɛs
ce	sˈiː
cedar	sˈiːdɚ
ceiling	sˈiːlɪŋ
celebrate	sˈɛləbɹˌeɪt
celebration	sˌɛləbɹˈeɪʃən
celebrities	səlˈɛbɹᵻɾiz
celebrity	səlˈɛbɹᵻɾi
cell	sˈɛl
cells	sˈɛlz
cellular	sˈɛljʊlɚ
celtic	kˈɛltɪk
cemetery	sˈɛmɪtˌɛɹi
census	sˈɛnsəs
cent	sˈɛnt
center	sˈɛntɚ
centers	sˈɛntɚz
central	sˈɛntɹəl
centre	sˈɛntɚ
centres	sˈɛntɚz
cents	sˈɛnts
century	sˈɛntʃɚɹi
ceo	sˌiːˌiːˈoʊ
ceramic	sᵻɹˈæmɪk
ceremony	sˈɛɹᵻməni
certain	sˈɜːʔn̩
certainly	sˈɜːʔn̩li
certificate	sɚtˈɪfɪkət
certificates	sɚtˈɪfɪkəts
certification	sˌɜːɾɪfɪkˈeɪʃən
certified	sˈɜːɾᵻfˌaɪd
cet	sˌiːˌiːtˈiː
cf	sˌiːˈɛf
cfr	sˌiːˌɛfˈɑːɹ
cg	sˌiːdʒˈiː
cgi	sˌiːdʒˌiːˈaɪ
ch	sˌiːˈeɪtʃ
chad	tʃˈæd
chain	tʃˈeɪn
chains	tʃˈeɪnz
chair	tʃˈɛɹ
chairman	tʃˈɛɹmən
chairs	tʃˈɛɹz
challenge	tʃˈælɪndʒ
challenges	tʃˈælɪndʒᵻz
challenging	tʃˈæləndʒˌɪŋ
chamber	tʃˈeɪmbɚ
champion	tʃˈæmpiən
champions	tʃˈæmpiənz
championship	tʃˈæmpiənʃˌɪp
championships	tʃˈæmpiənʃˌɪps
chance	tʃˈæns
chances	tʃˈænsᵻz
change	tʃˈeɪndʒ
changed	tʃˈeɪndʒd
changes	tʃˈeɪndʒᵻz
changing	tʃˈeɪndʒɪŋ
channel	tʃˈænəl
channels	tʃˈænəlz
chaos	kˈeɪɑːs
chapel	tʃˈæpəl
chapter	tʃˈæptɚ
chapters	tʃˈæptɚz
char	tʃˈɑːɹ
character	kˈæɹɪktɚ
characteristics	kˌæɹɪktɚɹˈɪstɪks
characters	kˈæɹɪktɚz
charge	tʃˈɑːɹdʒ
charged	tʃˈɑːɹdʒd
charger	tʃˈɑːɹdʒɚ
charges	tʃˈɑːɹdʒᵻz
charity	tʃˈæɹᵻɾi
charles	tʃˈɑːɹlz
charleston	tʃˈɑːɹlstən
charlie	tʃˈɑːɹli
charlotte	ʃˈɑːɹlət
charm	tʃˈɑːɹm
chart	tʃˈɑːɹt
charter	tʃˈɑːɹɾɚ
charts	tʃˈɑːɹts
chase	tʃˈeɪs
chat	tʃˈæt
cheap	tʃˈiːp
cheaper	tʃˈiːpɚ
cheapest	tʃˈiːpɪst
cheat	tʃˈiːt
cheats	tʃˈiːts
check	tʃˈɛk
checked	tʃˈɛkt
checking	tʃˈɛkɪŋ
checkout	tʃˈɛkaʊt
checks	tʃˈɛks
cheers	tʃˈɪɹz
cheese	tʃˈiːz
chef	ʃˈɛf
chem	kˈɛm
chemical	kˈɛmɪkəl
chemicals	kˈɛmɪkəlz
chemistry	kˈɛmɪstɹi
cherry	tʃˈɛɹi
chess	tʃˈɛs
chest	tʃˈɛst
chester	tʃˈɛstɚ
chevrolet	ʃˌɛvɹəlˈeɪ
chi	kˈaɪ
chicago	ʃᵻkˈɑːɡoʊ
chick	tʃˈɪk
chicken	tʃˈɪkɪn
chicks	tʃˈɪks
chief	tʃˈiːf
child	tʃˈaɪld
childhood	tʃˈaɪldhʊd
children	tʃˈɪldɹən
childrens	tʃˈɪldɹənz
chile	tʃˈɪli
china	tʃˈaɪnə
chinese	tʃaɪnˈiːz
chip	tʃˈɪp
chips	tʃˈɪps
chocolate	tʃˈɑːklət
choice	tʃˈɔɪs
choices	tʃˈɔɪsᵻz
cholesterol	kəlˈɛstɚɹˌɑːl
choose	tʃˈuːz
choosing	tʃˈuːzɪŋ
chose	tʃˈoʊz
chosen	tʃˈoʊzən
chris	kɹˈɪs
christ	kɹˈaɪst
christian	kɹˈɪstʃən
christianity	kɹˌɪstɪˈænᵻɾi
christians	kɹˈɪstʃənz
christina	kɹɪstˈiːnə
christmas	kɹˈɪsməs
christopher	kɹˈɪstəfɚ
chrome	kɹˈoʊm
chronic	kɹˈɑːnɪk
chronicles	kɹˈɑːnɪkəlz
chrysler	kɹˈaɪslɚ
chuck	tʃˈʌk
church	tʃˈɜːtʃ
churches	tʃˈɜːtʃᵻz
ci	sˈaɪ
cia	sˌiːˌaɪˈeɪ
cialis	siːˈælɪs
ciao	tʃˈaʊ
cincinnati	sˌɪnsɪnˈæɾi
cinema	sˈɪnəmə
circle	sˈɜːkəl
circuit	sˈɜːkɪt
circular	sˈɜːkjʊlɚ
circulation	sˌɜːkjʊlˈeɪʃən
circumstances	sˈɜːkəmstˌænsᵻz
cisco	sˈɪskoʊ
citation	saɪtˈeɪʃən
citations	saɪtˈeɪʃənz
cite	sˈaɪt
cited	sˈaɪɾᵻd
cities	sˈɪɾiz
citizen	sˈɪɾɪzən
citizens	sˈɪɾɪzənz
city	sˈɪɾi
citysearch	sˈɪɾaɪsˌɑːɹtʃ
civic	sˈɪvɪk
civil	sˈɪvəl
cl	sˌiːˈɛl
claim	klˈeɪm
claimed	klˈeɪmd
claims	klˈeɪmz
clarity	klˈæɹᵻɾi
clark	klˈɑːɹk
class	klˈæs
classes	klˈæsᵻz
classic	klˈæsɪk
classical	klˈæsɪkəl
classics	klˈæsɪks
classification	klˌæsɪfɪkˈeɪʃən
classified	klˈæsᵻfˌaɪd
classifieds	klˈæsᵻfˌaɪdz
classroom	klˈæsɹuːm
clause	klˈɔːz
clay	klˈeɪ
clean	klˈiːn
cleaner	klˈiːnɚ
cleaners	klˈiːnɚz
cleaning	klˈiːnɪŋ
clear	klˈɪɹ
clearance	klˈɪɹəns
clearly	klˈɪɹli
clerk	klˈɜːk
cleveland	klˈiːvlənd
click	klˈɪk
clicking	klˈɪkɪŋ
client	klˈaɪənt
clients	klˈaɪənts
climate	klˈaɪmət
climbing	klˈaɪmɪŋ
clinic	klˈɪnɪk
clinical	klˈɪnɪkəl
clinics	klˈɪnɪks
clinton	klˈɪntən
clip	klˈɪp
clips	klˈɪps
clock	klˈɑːk
clocks	klˈɑːks
clone	klˈoʊn
close	klˈoʊs
closed	klˈoʊzd
closely	klˈoʊsli
closer	klˈoʊsɚ
closing	klˈoʊzɪŋ
closure	klˈoʊʒɚ
cloth	klˈɔθ
clothes	klˈoʊðz
clothing	klˈoʊðɪŋ
cloud	klˈaʊd
clouds	klˈaʊdz
cloudy	klˈaʊdi
club	klˈʌb
clubs	klˈʌbz
cluster	klˈʌstɚ
cm	sˌiːˈɛm
cms	sˌiːˌɛmˈɛs
cn	sˌiːˈɛn
cnet	sˈiːnˈɛt
cnn	sˌiːˌɛnˈɛn
co	kˈoʊ
coach	kˈoʊtʃ
coaches	kˈoʊtʃᵻz
coaching	kˈoʊtʃɪŋ
coal	kˈoʊl
coalition	kˌoʊəlˈɪʃən
coast	kˈoʊst
coastal	kˈoʊstəl
coat	kˈoʊt
cock	kˈɑːk
cocks	kˈɑːks
cod	kˈɑːd
code	kˈoʊd
codes	kˈoʊdz
coding	kˈoʊdɪŋ
coffee	kˈɔfi
cognitive	kˈɑːɡnᵻtˌɪv
coin	kˈɔɪn
coins	kˈɔɪnz
col	kˈɑːl
cold	kˈoʊld
cole	kˈoʊl
colin	kˈɑːlɪn
collaboration	kəlˌæbɚɹˈeɪʃən
collaborative	kəlˈæbɹətˌɪv
collapse	kəlˈæps
collar	kˈɑːlɚ
colleagues	kˈɑːliːɡz
collect	kəlˈɛkt
collectables	kəlˈɛktəbəlz
collected	kəlˈɛktᵻd
collectibles	kəlˈɛktᵻbəlz
collecting	kəlˈɛktɪŋ
collection	kəlˈɛkʃən
collections	kəlˈɛkʃənz
collective	kəlˈɛktɪv
collector	kəlˈɛktɚ
college	kˈɑːlɪdʒ
colleges	kˈɑːlɪdʒᵻz
collins	kˈɑːlᵻnz
colombia	kəlˈʌmbiə
colonial	kəlˈoʊnɪəl
color	kˈʌlɚ
colorado	kˌɑːlɚɹˈɑːdoʊ
colored	kˈʌlɚd
colors	kˈʌlɚz
columbia	kəlˈʌmbiə
columbus	kəlˈʌmbəs
column	kˈɑːlʌm
columnists	kˈɑːləmnˌɪsts
columns	kˈɑːlʌmz
com	kˈɑːm
combat	kˈɑːmbæt
combination	kˌɑːmbᵻnˈeɪʃən
combine	kəmbˈaɪn
combined	kəmbˈaɪnd
combo	kˈɑːmboʊ
come	kˈʌm
comedy	kˈɑːmədi
comes	kˈʌmz
comfort	kˈʌmfɚt
comfortable	kˈʌmftəbəl
comic	kˈɑːmɪk
comics	kˈɑːmɪks
coming	kˈʌmɪŋ
comm	kˈɑːm
command	kəmˈænd
commander	kəmˈændɚ
commands	kəmˈændz
comment	kˈɑːmɛnt
commentary	kˈɑːməntˌɛɹi
comments	kˈɑːmɛnts
commerce	kˈɑːmɜːs
commercial	kəmˈɜːʃəl
commission	kəmˈɪʃən
commissioner	kəmˈɪʃənɚ
commit	kəmˈɪt
commitment	kəmˈɪtmənt
committed	kəmˈɪɾᵻd
committee	kəmˈɪɾi
committees	kəmˈɪɾiz
common	kˈɑːmən
commonly	kˈɑːmənli
commons	kˈɑːmənz
commonwealth	kˈɑːmənwˌɛlθ
communicate	kəmjˈuːnᵻkˌeɪt
communication	kəmjˌuːnɪkˈeɪʃən
communications	kəmjˌuːnɪkˈeɪʃənz
communities	kəmjˈuːnᵻɾiz
community	kəmjˈuːnᵻɾi
comp	kˈɑːmp
compact	kəmpˈækt
companies	kˈʌmpəniz
companion	kəmpˈæniən
company	kˈʌmpəni
compaq	kəmpˈæk
comparable	kˈɑːmpɚɹəbəl
comparative	kəmpˈæɹətˌɪv
compare	kəmpˈɛɹ
compared	kəmpˈɛɹd
comparing	kəmpˈɛɹɪŋ
comparison	kəmpˈæɹɪsən
comparisons	kəmpˈæɹɪsənz
compatibility	kəmpˌæɾəbˈɪlᵻɾi
compatible	kəmpˈæɾᵻbəl
compensation	kˌɑːmpənsˈeɪʃən
compete	kəmpˈiːt
competition	kˌɑːmpətˈɪʃən
competitions	kˌɑːmpətˈɪʃənz
competitive	kəmpˈɛɾᵻtˌɪv
competitors	kəmpˈɛɾɪɾɚz
compilation	kˌɑːmpɪlˈeɪʃən
compile	kəmpˈaɪl
compiled	kəmpˈaɪld
compiler	kəmpˈaɪlɚ
complaint	kəmplˈeɪnt
complaints	kəmplˈeɪnts
complete	kəmplˈiːt
completed	kəmplˈiːɾᵻd
completely	kəmplˈiːtli
completing	kəmplˈiːɾɪŋ
completion	kəmplˈiːʃən
complex	kˈɑːmplɛks
complexity	kəmplˈɛksᵻɾi
compliance	kəmplˈaɪəns
compliant	kəmplˈaɪənt
complicated	kˈɑːmplᵻkˌeɪɾᵻd
complications	kˌɑːmplɪkˈeɪʃənz
comply	kəmplˈaɪ
component	kəmpˈoʊnənt
components	kəmpˈoʊnənts
composed	kəmpˈoʊzd
composer	kəmpˈoʊzɚ
composite	kəmpˈɑːzɪt
composition	kˌɑːmpəzˈɪʃən
compound	kˈɑːmpaʊnd
compounds	kˈɑːmpaʊndz
comprehensive	kˌɑːmpɹihˈɛnsɪv
compressed	kəmpɹˈɛst
compression	kəmpɹˈɛʃən
computer	kəmpjˈuːɾɚ
computers	kəmpjˈuːɾɚz
computing	kəmpjˈuːɾɪŋ
con	kˈɑːn
concentration	kˌɑːnsəntɹˈeɪʃən
concentrations	kˌɑːnsəntɹˈeɪʃənz
concept	kˈɑːnsɛpt
concepts	kˈɑːnsɛpts
concern	kənsˈɜːn
concerned	kənsˈɜːnd
concerning	kənsˈɜːnɪŋ
concerns	kənsˈɜːnz
concert	kˈɑːnsɚt
concerts	kˈɑːnsɚts
concluded	kəŋklˈuːdᵻd
conclusion	kəŋklˈuːʒən
conclusions	kəŋklˈuːʒənz
concrete	kˈɑːŋkɹiːt
condition	kəndˈɪʃən
conditioning	kəndˈɪʃənɪŋ
conditions	kəndˈɪʃənz
conduct	kˈɑːndʌkt
conducted	kəndˈʌktᵻd
conducting	kəndˈʌktɪŋ
conference	kˈɑːnfɹəns
conferences	kˈɑːnfɹənsᵻz
confidence	kˈɑːnfɪdəns
confident	kˈɑːnfɪdənt
confidential	kˌɑːnfɪdˈɛnʃəl
config	kənfˈɪɡ
configuration	kənfˌɪɡjɚɹˈeɪʃən
configure	kənfˈɪɡjɚ
configured	kənfˈɪɡɚd
confirm	kənfˈɜːm
confirmation	kɑːnfɚmˈeɪʃən
confirmed	kənfˈɜːmd
conflict	kˈɑːnflɪkt
conflicts	kˈɑːnflɪkts
confused	kənfjˈuːzd
confusion	kənfjˈuːʒən
congo	kˈɑːŋɡoʊ
congress	kˈɑːŋɡɹəs
congressional	kəŋɡɹˈɛʃənəl
conjunction	kəndʒˈʌŋkʃən
connect	kənˈɛkt
connected	kənˈɛktᵻd
connecticut	kənˈɛɾɪkət
connecting	kənˈɛktɪŋ
connection	kənˈɛkʃən
connections	kənˈɛkʃənz
connectivity	kɑːnɪktˈɪvᵻɾi
connector	kənˈɛktɚ
connectors	kənˈɛktɚz
cons	kˈɑːnz
consciousness	kˈɑːnʃəsnəs
consensus	kənsˈɛnsəs
consent	kənsˈɛnt
consequences	kˈɑːnsɪkwənsᵻz
conservation	kˌɑːnsɚvˈeɪʃən
conservative	kənsˈɜːvətˌɪv
consider	kənsˈɪdɚ
considerable	kənsˈɪdɚɹəbəl
consideration	kənsˌɪdɚɹˈeɪʃən
considerations	kənsˌɪdɚɹˈeɪʃənz
considered	kənsˈɪdɚd
considering	kənsˈɪdɚɹɪŋ
consistent	kənsˈɪstənt
consistently	kənsˈɪstəntli
consisting	kənsˈɪstɪŋ
consists	kənsˈɪsts
console	kˈɑːnsoʊl
consolidated	kənsˈɑːlᵻdˌeɪɾᵻd
consolidation	kənsˌɑːlɪdˈeɪʃən
consortium	kənsˈɔːɹɾiəm
const	kˈɑːnst
constant	kˈɑːnstənt
constantly	kˈɑːnstəntli
constitute	kˈɑːnstɪtˌuːt
constitutes	kˈɑːnstɪtˌuːts
constitution	kˌɑːnstɪtˈuːʃən
constitutional	kˌɑːnstɪtˈuːʃənəl
constraints	kənstɹˈeɪnts
construct	kˈɑːnstɹʌkt
constructed	kənstɹˈʌktᵻd
construction	kənstɹˈʌkʃən
consult	kənsˈʌlt
consultant	kənsˈʌltənt
consultants	kənsˈʌltənts
consultation	kɑːnsəltˈeɪʃən
consulting	kənsˈʌltɪŋ
consumer	kənsˈuːmɚ
consumers	kənsˈuːmɚz
consumption	kənsˈʌmpʃən
contact	kˈɑːntækt
contacts	kˈɑːntækts
contain	kəntˈeɪn
contained	kəntˈeɪnd
container	kəntˈeɪnɚ
containers	kəntˈeɪnɚz
containing	kəntˈeɪnɪŋ
contains	kəntˈeɪnz
contemporary	kəntˈɛmpɚɹˌɛɹi
content	kˈɑːntɛnt
contents	kˈɑːntɛnts
contest	kˈɑːntɛst
contests	kˈɑːntɛsts
context	kˈɑːntɛkst
continental	kˌɑːntɪnˈɛntəl
continue	kəntˈɪnjuː
continued	kəntˈɪnjuːd
continues	kəntˈɪnjuːz
continuing	kəntˈɪnjuːɪŋ
continuous	kəntˈɪnjuːəs
contract	kˈɑːntɹækt
contracting	kəntɹˈæktɪŋ
contractor	kəntɹˈæktɚ
contractors	kəntɹˈæktɚz
contracts	kˈɑːntɹækts
contrary	kˈɑːntɹɛɹi
contrast	kˈɑːntɹæst
contribute	kəntɹˈɪbjuːt
contributed	kəntɹˈɪbjuːɾᵻd
contributing	kəntɹˈɪbjuːɾɪŋ
contribution	kˌɑːntɹɪbjˈuːʃən
contributions	kˌɑːntɹɪbjˈuːʃənz
contributors	kəntɹˈɪbjuːɾɚz
control	kəntɹˈoʊl
controlled	kəntɹˈoʊld
controller	kəntɹˈoʊlɚ
controlling	kəntɹˈoʊlɪŋ
controls	kəntɹˈoʊlz
convenience	kənvˈiːnɪəns
convenient	kənvˈiːnɪənt
convention	kənvˈɛnʃən
conventional	kənvˈɛnʃənəl
conversation	kɑːnvɚsˈeɪʃən
conversion	kənvˈɜːʒən
convert	kənvˈɜːt
converted	kənvˈɜːɾᵻd
converter	kənvˈɜːɾɚ
cook	kˈʊk
cookbook	kˈʊkbʊk
cookie	kˈʊki
cookies	kˈʊkiz
cooking	kˈʊkɪŋ
cool	kˈuːl
cooler	kˈuːlɚ
cooling	kˈuːlɪŋ
cooper	kˈuːpɚ
cooperation	koʊˈɑːpɚɹˈeɪʃən
cooperative	koʊˈɑːpɚɹətˌɪv
coordinate	koʊˈɔːɹdᵻnət
coordination	koʊˈɔːɹdᵻnˈeɪʃən
coordinator	koʊˈɔːɹdᵻnˌeɪɾɚ
copied	kˈɑːpɪd
copies	kˈɑːpɪz
copper	kˈɑːpɚ
copy	kˈɑːpi
copying	kˈɑːpɪɪŋ
copyright	kˈɑːpɪɹˌaɪt
copyrighted	kˈɑːpɪɹˌaɪɾᵻd
copyrights	kˈɑːpɪɹˌaɪts
coral	kˈɔːɹəl
cord	kˈɔːɹd
cordless	kˈɔːɹdləs
core	kˈɔːɹ
corn	kˈɔːɹn
corner	kˈɔːɹnɚ
corp	kˈɔːɹp
corporate	kˈɔːɹpɚɹət
corporation	kˌɔːɹpɚɹˈeɪʃən
corporations	kˌɔːɹpɚɹˈeɪʃənz
corps	kˈɔːɹ
correct	kɚɹˈɛkt
correction	kɚɹˈɛkʃən
corrections	kɚɹˈɛkʃənz
correctly	kɚɹˈɛktli
correlation	kˌɔɹɪlˈeɪʃən
correspondence	kˌɔːɹɪspˈɑːndəns
corresponding	kˌɔːɹɪspˈɑːndɪŋ
corruption	kɚɹˈʌpʃən
cosmetic	kɑːzmˈɛɾɪk
cosmetics	kɑːzmˈɛɾɪks
cost	kˈɔst
costa	kˈɔstə
costs	kˈɔsts
costume	kˈɔstuːm
costumes	kˈɔstuːmz
cottage	kˈɑːɾɪdʒ
cotton	kˈɑːʔn̩
could	kˈʊd
council	kˈaʊnsəl
counsel	kˈaʊnsəl
counseling	kˈaʊnsəlɪŋ
count	kˈaʊnt
counter	kˈaʊntɚ
counters	kˈaʊntɚz
counties	kˈaʊntiz
counting	kˈaʊntɪŋ
countries	kˈʌntɹiz
country	kˈʌntɹi
counts	kˈaʊnts
county	kˈaʊnti
couple	kˈʌpəl
couples	kˈʌpəlz
coupon	kˈuːpɑːn
coupons	kˈuːpɑːnz
courier	kˈɜːɹiɚ
course	kˈɔːɹs
courses	kˈɔːɹsᵻz
court	kˈɔːɹt
courtesy	kˈɜːɾəsi
courts	kˈɔːɹts
cover	kˈʌvɚ
coverage	kˈʌvɚɹɪdʒ
covered	kˈʌvɚd
covering	kˈʌvɚɹɪŋ
covers	kˈʌvɚz
cow	kˈaʊ
cox	kˈɑːks
cp	sˌiːpˈiː
cpu	sˌiːpˌiːjˈuː
cr	sˌiːˈɑːɹ
crack	kɹˈæk
craft	kɹˈæft
crafts	kɹˈæfts
craig	kɹˈeɪɡ
crap	kɹˈæp
crash	kɹˈæʃ
crazy	kɹˈeɪzi
cream	kɹˈiːm
create	kɹiːˈeɪt
created	kɹiːˈeɪɾᵻd
creates	kɹiːˈeɪts
creating	kɹiːˈeɪɾɪŋ
creation	kɹiːˈeɪʃən
creative	kɹiːˈeɪɾɪv
creativity	kɹiːˌeɪtˈɪvᵻɾi
creator	kɹiːˈeɪɾɚ
credit	kɹˈɛdɪt
credits	kɹˈɛdɪts
creek	kɹˈiːk
crew	kɹˈuː
cricket	kɹˈɪkɪt
crime	kɹˈaɪm
crimes	kɹˈaɪmz
criminal	kɹˈɪmɪnəl
crisis	kɹˈaɪsɪs
criteria	kɹaɪtˈiəɹɪə
critical	kɹˈɪɾɪkəl
criticism	kɹˈɪɾɪsˌɪzəm
critics	kɹˈɪɾɪks
crm	sˌiːˌɑːɹɹˈɛm
croatia	kɹoʊˈeɪʃə
crop	kɹˈɑːp
crops	kɹˈɑːps
cross	kɹˈɔs
crossing	kɹˈɔsɪŋ
crowd	kɹˈaʊd
crown	kɹˈaʊn
crucial	kɹˈuːʃəl
cruise	kɹˈuːz
cruises	kɹˈuːzᵻz
cruz	kɹˈuːz
cry	kɹˈaɪ
crystal	kɹˈɪstəl
cs	sˌiːˈɛs
css	sˌiːˌɛsˈɛs
cst	sˌiːˌɛstˈiː
ct	sˌiːtˈiː
cu	kˈuː
cuba	kjˈuːbə
cube	kjˈuːb
